id,price
188533,18361.239925826478
188534,81671.39091389679
188535,55957.10404140148
188536,30188.242551701784
188537,31523.46259455022
188538,17826.582691544398
188539,12490.478307656853
188540,47179.256387716254
188541,85024.87682332085
188542,32038.034155863625
188543,26663.234706898587
188544,14860.727293218402
188545,55569.20505218264
188546,84275.42675793455
188547,18794.17563411068
188548,101844.04043813668
188549,21357.188695439854
188550,9962.533701239914
188551,86965.779013501
188552,58247.25817798898
188553,64150.746148989485
188554,23074.75346557329
188555,33816.89478719958
188556,19692.011168729772
188557,21903.856198463218
188558,80613.69008113898
188559,25414.60732252722
188560,17701.10058888982
188561,71815.9427472634
188562,24188.435933463865
188563,99286.37207913035
188564,42054.811936529
188565,43286.107570688015
188566,29935.85591045273
188567,14064.876225127544
188568,46892.67934991032
188569,21917.0100501566
188570,17650.131121100585
188571,38986.050542116056
188572,101965.56075882335
188573,29248.37986546798
188574,32981.60862443284
188575,42118.87100441469
188576,33827.88722393129
188577,11148.469213818422
188578,35330.91052147061
188579,43180.091090589325
188580,35804.65719403844
188581,89192.52762417545
188582,27314.125716282066
188583,78142.37708941991
188584,30664.061164546834
188585,35669.803898814345
188586,33099.814533703924
188587,57465.67577019338
188588,26113.090843369388
188589,16791.082445530054
188590,32039.55899574989
188591,28581.94220855729
188592,36393.30408515158
188593,30319.437279099187
188594,64171.9936424639
188595,26324.104182120805
188596,59590.273495125075
188597,28790.443649721452
188598,25859.701554113286
188599,12947.024289181982
188600,63214.89715629256
188601,53436.79861155784
188602,35369.63769930983
188603,124157.91763270485
188604,10797.274932185992
188605,36893.78498630496
188606,33674.70634790914
188607,62299.00215498462
188608,14749.445801272785
188609,54472.46454649363
188610,44732.95366009103
188611,20358.407592117397
188612,80257.6288313714
188613,22438.710724542947
188614,20131.599959163814
188615,31558.074798180616
188616,97820.10540360682
188617,39510.31775894212
188618,25578.951830116985
188619,84408.92230986178
188620,30341.13715896897
188621,22255.436431819402
188622,96535.7200360226
188623,56754.10306944705
188624,43741.96654509221
188625,27921.49269444855
188626,17326.31701093949
188627,126645.4397666748
188628,75872.24056250707
188629,26841.03361709131
188630,28673.872799423007
188631,71363.2923689315
188632,51026.241872904815
188633,58299.33617631781
188634,10801.167976019427
188635,28063.412320923653
188636,51368.149938871364
188637,11130.725427209487
188638,37960.10417626171
188639,27956.82153065074
188640,13773.771283244138
188641,25884.000717725015
188642,15828.202473485679
188643,94824.21174390345
188644,104575.54219294728
188645,60440.971340609845
188646,11295.506148962637
188647,26446.95027196518
188648,29274.74965311339
188649,38849.52869533037
188650,104286.58284337728
188651,57661.397219213984
188652,64051.19329573078
188653,78811.6729944558
188654,12489.097025651236
188655,20362.132245859826
188656,25535.542113162443
188657,34374.04004195871
188658,9777.769221158376
188659,55180.25207046727
188660,11040.046715405968
188661,89180.88929946294
188662,12259.655223668346
188663,15998.33121106743
188664,95553.51947237563
188665,112372.10324586582
188666,27337.53903862061
188667,11977.15940166088
188668,19584.104665419003
188669,25789.77521391979
188670,62121.50033385785
188671,22154.127818688394
188672,31528.01639904656
188673,58222.947213193955
188674,15457.299087952475
188675,33522.93604836574
188676,44346.725247248054
188677,10378.205981565026
188678,35687.7253540258
188679,36862.397975128006
188680,67204.51449945419
188681,13067.83981083969
188682,15896.823846682653
188683,13361.12018625713
188684,63552.20970746996
188685,48651.31093287141
188686,98193.11504946624
188687,23223.056283880665
188688,34919.43259574023
188689,13379.637996468435
188690,36521.97564730293
188691,52477.86374943581
188692,33286.12676968333
188693,13645.362956040954
188694,15227.763642859789
188695,23510.57769456104
188696,85234.08319111928
188697,25187.02281590107
188698,15822.025886644178
188699,60414.98839615753
188700,113679.1192671344
188701,36841.69826014047
188702,13792.081181096537
188703,83107.32359608286
188704,51601.18393580593
188705,32312.063855191922
188706,85520.43764199148
188707,11479.575256790871
188708,16705.969789423856
188709,14252.015028949258
188710,21920.55489868099
188711,30239.574046618098
188712,50229.01832720236
188713,31173.497009288447
188714,22724.961597936435
188715,38816.985543282004
188716,65174.56222326323
188717,12778.16280516557
188718,17242.85371631569
188719,31371.96570785358
188720,18888.28786154253
188721,70266.51249534852
188722,55188.003730465534
188723,23057.210341917347
188724,28254.641642594906
188725,12957.34015921688
188726,42820.56433699989
188727,12659.41960473225
188728,57244.376025711674
188729,20713.425175383323
188730,57439.09671826452
188731,68724.92677919051
188732,41742.2330166398
188733,20278.812330029283
188734,13616.932837036004
188735,9828.616751071337
188736,11808.14574906852
188737,85895.49265973449
188738,65498.32734663419
188739,51020.00037479813
188740,79607.1309679842
